DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Premis Desc,Weapon Desc,Status Desc,LOCATION,LAT,LON,Crm Type
201713754,09/29/2020 12:00:00 AM,08/01/2020 12:00:00 AM,1200,Devonshire,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,9600    ONEAL                        CT,34.245,-118.5289,THEFT
201513294,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,2010,N Hollywood,CRIMINAL THREATS - NO WEAPON DISPLAYED,SHOPPING MALL (COMMON AREA),VERBAL THREAT,Invest Cont,12200 W  VENTURA                      BL,34.1432,-118.3986,ASSAULT
201817027,09/10/2020 12:00:00 AM,09/10/2020 12:00:00 AM,2145,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ALLEY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,95TH                         ST,33.9506,-118.2375,ASSAULT
201610419,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,2000,Foothill,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,13000    GLAMIS                       ST,34.2555,-118.4185,VEHICLE
201910095,05/21/2020 12:00:00 AM,03/17/2020 12:00:00 AM,317,Mission,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,15100    ROXFORD                      ST,34.3198,-118.4622,VEHICLE
201316902,09/13/2020 12:00:00 AM,09/13/2020 12:00:00 AM,300,Newton,VEHICLE - STOLEN,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,300 W  47TH                         ST,34.0011,-118.2789,VEHICLE
201416213,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1640,Pacific,BATTERY - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3300 S  SEPULVEDA                    BL,34.0226,-118.4248,ASSAULT
201817878,09/27/2020 12:00:00 AM,09/19/2020 12:00:00 AM,1930,Southeast,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","PORCH, RESIDENTIAL",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,11600    AVALON                       BL,33.9283,-118.2652,THEFT
202104312,01/07/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1330,Topanga,THEFT PLAIN - PETTY ($950 & UNDER),OTHER BUSINESS,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,23200    VENTURA                      BL,34.1626,-118.6309,THEFT
202013579,08/18/2020 12:00:00 AM,08/13/2020 12:00:00 AM,100,Olympic,BATTERY WITH SEXUAL CONTACT,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4000 W  2ND                          ST,34.0712,-118.3016,SEX_CRIME
201404274,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2219,Pacific,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6400 W  84TH                         ST,33.9629,-118.3993,OTHER
201812009,06/02/2020 12:00:00 AM,06/02/2020 12:00:00 AM,400,Southeast,VEHICLE - STOLEN,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,8700 S  SAN PEDRO                    ST,33.9591,-118.2695,VEHICLE
201817357,09/12/2020 12:00:00 AM,09/12/2020 12:00:00 AM,30,Southeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,STREET,VERBAL THREAT,Invest Cont,ROSECRANS,33.9019,-118.2916,ASSAULT
231808869,04/04/2023 12:00:00 AM,12/01/2020 12:00:00 AM,2300,Southeast,THEFT OF IDENTITY,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,9900    COMPTON                      AV,33.9467,-118.2463,THEFT
201516878,10/27/2020 12:00:00 AM,10/27/2020 12:00:00 AM,400,N Hollywood,ROBBERY,STREET,VERBAL THREAT,Invest Cont,CHANDLER,34.1687,-118.4003,ROBBERY
